"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","PBtotal","PBtype"
"845",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2012,"Total",165672,NA
"846",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2012,"Total",20573,NA
"847",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2012,"Total",275,NA
"848",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2012,"Total",7687,NA
"849",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2012,"Total",0,NA
"850",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2012,"Total",56,NA
"851",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2012,"Total",56303,NA
"852",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2012,"Total",25763,NA
"853",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2012,"Total",12965,NA
"854",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2012,"Total",0,NA
"855",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2012,"Total",1125,NA
"856",2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","240","Cancelled Account Payment","U",2012,"Total",0,NA
"857",2013,"1453N","Military Personnel, Navy","","","Less Reimbursables","","Less Reimbursables","U",2012,"Total",-282803,NA
"858",2013,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","01","Pay and Allowances of Officers","300","Navy","U",2012,"Total",294881,NA
"859",2013,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","02","Pay and Allowances of Enlisted","300","Navy","U",2012,"Total",1511477,NA
"860",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","5","Basic Pay ","U",2012,"Total",1549887,NA
"861",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","10","Retired Pay Accrual ","U",2012,"Total",524391,NA
"862",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","25","Basic Allowance For Housing ","U",2012,"Total",512199,NA
"863",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","30","Basic Allowance For Subsistence ","U",2012,"Total",64502,NA
"864",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2012,"Total",53004,NA
"865",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","40","Special Pays       ","U",2012,"Total",42851,NA
"866",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","45","Allowances          ","U",2012,"Total",42355,NA
"867",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2012,"Total",17293,NA
"868",2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2012,"Total",117495,NA
"869",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2012,"Total",5157689,NA
"870",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2012,"Total",1749867,NA
"871",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","80","Basic Allowance for Housing","U",2012,"Total",1797374,NA
"872",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","85","Incentive Pays     ","U",2012,"Total",10136,NA
"873",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","90","Special Pays       ","U",2012,"Total",268612,NA
"874",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","95","Allowances         ","U",2012,"Total",338839,NA
"875",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","100","Separation Pay     ","U",2012,"Total",72580,NA
"876",2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","105","Social Security Tax   ","U",2012,"Total",393611,NA
"877",2013,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2012,"Total",485823,NA
"878",2013,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind ","U",2012,"Total",293371,NA
"879",2013,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2012,"Total",50,NA
"880",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","125","Accession Travel ","U",2012,"Total",92021,NA
"881",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","130","Training Travel ","U",2012,"Total",9356,NA
"882",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","135","Operational Travel  ","U",2012,"Total",257483,NA
"883",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel  ","U",2012,"Total",145562,NA
"884",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","145","Separation Travel ","U",2012,"Total",64688,NA
"885",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2012,"Total",754,NA
"886",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage ","U",2012,"Total",6442,NA
"887",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense ","U",2012,"Total",14317,NA
"888",2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","165","Other ","U",2012,"Total",2726,NA
"889",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2012,"Total",968,NA
"890",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2012,"Total",19,NA
"891",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2012,"Total",30100,NA
"892",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2012,"Total",148864,NA
"893",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2012,"Total",5002,NA
"894",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2012,"Total",73,NA
"895",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2012,"Total",3491,NA
"896",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2012,"Total",283,NA
"897",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2012,"Total",35243,NA
"898",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2012,"Total",5813,NA
"899",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2012,"Total",0,NA
"900",2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2012,"Total",1125,NA
"901",2013,"1105N","Military Personnel, Marine Corps","","","Less Reimbursables","","Less Reimbursables","U",2012,"Total",-22485,NA
"902",2013,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","01","Pay and Allowances of Officers","300","Marine Corps","U",2012,"Total",122142,NA
"903",2013,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","02","Pay and Allowances of Enlisted","300","Marine Corps","U",2012,"Total",1003941,NA
"904",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",609537,NA
"905",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","20","Pay Group B Training  (Backfill For Active Duty)","U",2012,"Total",8942,NA
"906",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",52498,NA
"907",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","60","Mobilization Training","U",2012,"Total",8727,NA
"908",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",56466,NA
"909",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",174031,NA
"910",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",1010505,NA
"911",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",1382,NA
"912",2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2012,"Total",57435,NA
"913",2013,"1002N","MEDICARE - Retiree Health Care Contribution , N RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Navy","U",2012,"Total",236044,NA
"914",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",224780,NA
"915",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2012,"Total",29701,NA
"916",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",116591,NA
"917",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","60","Mobilization Training","U",2012,"Total",2198,NA
"918",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",19513,NA
"919",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",39680,NA
"920",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",216849,NA
"921",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","95","Platoon Leader Class","U",2012,"Total",11914,NA
"922",2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",6820,NA
"923",2013,"1003N","MEDICARE - Retiree Health Care Contribution , MC RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Marine Corps","U",2012,"Total",134710,NA
"924",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","5","Basic Pay ","U",2012,"Total",4977012,NA
"925",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","10","Retired Pay Accrual ","U",2012,"Total",1676687,NA
"926",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","25","Basic Allowance for Housing","U",2012,"Total",1489754,NA
"927",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","30","Basic Allowance for Subsistence","U",2012,"Total",194341,NA
"928",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2012,"Total",229324,NA
"929",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","40","Special Pays       ","U",2012,"Total",334617,NA
"930",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","45","Allowances          ","U",2012,"Total",147915,NA
"931",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2012,"Total",197616,NA
"932",2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2012,"Total",378197,NA
"933",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2012,"Total",9040427,NA
"934",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2012,"Total",3050089,NA
"935",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","80","Basic Allowance for Housing","U",2012,"Total",3555166,NA
"936",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","85","Incentive Pays     ","U",2012,"Total",41269,NA
"937",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","90","Special Pays       ","U",2012,"Total",442868,NA
"938",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","95","Allowances         ","U",2012,"Total",607158,NA
"939",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","100","Separation Pay     ","U",2012,"Total",136460,NA
"940",2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","105","Social Security Tax   ","U",2012,"Total",691592,NA
"941",2013,"3500F","Military Personnel, Air Force","AF","03","Pay and Allowances of Cadets/Midshipmen","110","Academy Cadets ","U",2012,"Total",72627,NA
"942",2013,"3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2012,"Total",994419,NA
"943",2013,"3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind ","U",2012,"Total",208343,NA
"944",2013,"3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2012,"Total",34,NA
"945",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","125","Accession Travel ","U",2012,"Total",81955,NA
"946",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","130","Training Travel ","U",2012,"Total",73983,NA
"947",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","135","Operational Travel  ","U",2012,"Total",323542,NA
"948",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","140","Rotational Travel  ","U",2012,"Total",521953,NA
"949",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","145","Separation Travel ","U",2012,"Total",158329,NA
"950",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2012,"Total",15515,NA
"951",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","155","Non-Temporary Storage ","U",2012,"Total",40022,NA
"952",2013,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","160","Temporary Lodging Expense ","U",2012,"Total",29772,NA
"953",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2012,"Total",141,NA
"954",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2012,"Total",2721,NA
"955",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","180","Death Gratuities ","U",2012,"Total",18000,NA
"956",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2012,"Total",95266,NA
"957",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","190","Survivor Benefits ","U",2012,"Total",2148,NA
"958",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","195","Education Benefits ","U",2012,"Total",340,NA
"959",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2012,"Total",501,NA
"960",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2012,"Total",6442,NA
"961",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2012,"Total",1942,NA
"962",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2012,"Total",56197,NA
"963",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2012,"Total",37074,NA
"964",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","218","Junior ROTC","U",2012,"Total",16287,NA
"965",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2012,"Total",0,NA
"966",2013,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2012,"Total",1125,NA
"967",2013,"3500F","Military Personnel, Air Force","","","Less Reimbursables","","Less Reimbursables","U",2012,"Total",-394790,NA
"968",2013,"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF","01","Pay and Allowances of Officers","300","Air Force","U",2012,"Total",365230,NA
"969",2013,"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF","02","Pay and Allowances of Enlisted","300","Air Force","U",2012,"Total",1474373,NA
"970",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",677609,NA
"971",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2012,"Total",95423,NA
"972",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",68855,NA
"973",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","40","Pay Group P Training  (Pipeline Recruits)","U",2012,"Total",29,NA
"974",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","60","Mobilization Training","U",2012,"Total",579,NA
"975",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",149001,NA
"976",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",308986,NA
"977",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",362251,NA
"978",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",17098,NA
"979",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2012,"Total",54200,NA
"980",2013,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","U",2012,"Total",4841,NA
"981",2013,"1008F","MEDICARE - Retiree Health Care Contribution , AF RES","AF","01","Unit & Individual Training","300","Reserve Personnel, Air Force","U",2012,"Total",238794,NA
"982",2013,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",904180,NA
"983",2013,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",100452,NA
"984",2013,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","40","Pay Group P Training  (Pipeline Recruits)","U",2012,"Total",5881,NA
"985",2013,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",244908,NA
"986",2013,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",170344,NA
"987",2013,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",1645009,NA
"988",2013,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",27362,NA
"989",2013,"1009F","MEDICARE - Retiree Health Care Contribution , AF GUARD","AF","01","Unit & Individual Training","300","National Guard Personnel, Air Force","U",2012,"Total",378159,NA
"990",2013,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA
"991",2013,"Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.",NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA
"992",2013,"FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.",NA,NA,NA,NA,NA,NA,NA,2012,"Total",NA,NA
"993",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","5","Basic Pay","U",2013,"Base",NA,6046542
"994",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","10","Retired Pay Accrual","U",2013,"Base",NA,1936899
"995",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","25","Basic Allowance for Housing","U",2013,"Base",NA,1852895
"996",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","30","Basic Allowance for Subsistence","U",2013,"Base",NA,252272
"997",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2013,"Base",NA,102530
"998",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","40","Special Pays       ","U",2013,"Base",NA,340023
"999",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","45","Allowances          ","U",2013,"Base",NA,232696
"1000",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2013,"Base",NA,90679
"1001",2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2013,"Base",NA,460046
"1002",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2013,"Base",NA,13198604
"1003",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2013,"Base",NA,4233149
"1004",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","80","Basic Allowance for Housing","U",2013,"Base",NA,4735765
"1005",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","85","Incentive Pays     ","U",2013,"Base",NA,114035
"1006",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","90","Special Pays       ","U",2013,"Base",NA,699801
"1007",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","95","Allowances         ","U",2013,"Base",NA,880308
"1008",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","100","Separation Pay     ","U",2013,"Base",NA,378455
"1009",2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","105","Social Security Tax   ","U",2013,"Base",NA,1009678
"1010",2013,"2010A","Military Personnel, Army","ARMY","03","Pay and Allowances of Cadets/Midshipmen","110","Academy Cadets ","U",2013,"Base",NA,77680
"1011",2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2013,"Base",NA,1357570
"1012",2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind ","U",2013,"Base",NA,753551
"1013",2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2013,"Base",NA,1911
"1014",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","125","Accession Travel ","U",2013,"Base",NA,163294
"1015",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","130","Training Travel ","U",2013,"Base",NA,167995
"1016",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","135","Operational Travel  ","U",2013,"Base",NA,495917
"1017",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","140","Rotational Travel  ","U",2013,"Base",NA,677396
"1018",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","145","Separation Travel ","U",2013,"Base",NA,193262
"1019",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2013,"Base",NA,12150
"1020",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","155","Non-Temporary Storage ","U",2013,"Base",NA,9726
"1021",2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense ","U",2013,"Base",NA,67841
"1022",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2013,"Base",NA,1434
"1023",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2013,"Base",NA,687
"1024",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2013,"Base",NA,62800
"1025",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2013,"Base",NA,264874
"1026",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","195","Education Benefits ","U",2013,"Base",NA,698
"1027",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2013,"Base",NA,494
"1028",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2013,"Base",NA,7436
"1029",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2013,"Base",NA,0
"1030",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2013,"Base",NA,428
"1031",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2013,"Base",NA,0
"1032",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2013,"Base",NA,107370
"1033",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","U",2013,"Base",NA,42845
"1034",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Traumatic Injury Protection Coverage (T-SGLI)","U",2013,"Base",NA,0
"1035",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2013,"Base",NA,0
"1036",2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2013,"Base",NA,0
"1037",2013,"2010A","Military Personnel, Army","","","Less Reimbursables","","Less Reimbursables","U",2013,"Base",NA,-253892
"1038",2013,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","01","Pay and Allowances of Officers","300","Military Personnel, Army","U",2013,"Base",NA,297248
