"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType","IncludeInTOA","AddOrNonAdd"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","U",2014,"Base",,,9489,,,,,"Y","Add"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2014,"Base",,,50501,,,,,"Y","Add"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","U",2014,"Base",,,8986,,,,,"Y","Add"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","070","School Training","U",2014,"Base",,,50726,,,,,"Y","Add"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","080","Special Training","U",2014,"Base",,,92470,,,,,"Y","Add"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","090","Administration and Support","U",2014,"Base",,,983454,,,,,"Y","Add"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2014,"Base",,,104,,,,,"Y","Add"
2015,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2014,"Base",,,52187,,,,,"Y","Add"
2015,"1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Navy","U",2014,"Base",,,147812,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2014,"Base",,,233722,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","U",2014,"Base",,,30555,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2014,"Base",,,124698,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","U",2014,"Base",,,2677,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","070","School Training","U",2014,"Base",,,19448,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","080","Special Training","U",2014,"Base",,,18968,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","090","Administration and Support","U",2014,"Base",,,216453,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","095","Platoon Leader Class","U",2014,"Base",,,7770,,,,,"Y","Add"
2015,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2014,"Base",,,818,,,,,"Y","Add"
2015,"1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Marine Corps","U",2014,"Base",,,89108,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","005","Basic Pay","U",2014,"Base",,,4806704,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","010","Retired Pay Accrual","U",2014,"Base",,,1575177,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","U",2014,"Base",,,1378651,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","U",2014,"Base",,,197950,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","035","Incentive Pays","U",2014,"Base",,,206177,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","040","Special Pays","U",2014,"Base",,,301534,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","045","Allowances","U",2014,"Base",,,134661,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","050","Separation Pay","U",2014,"Base",,,258533,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","055","Social Security Tax","U",2014,"Base",,,372960,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","060","Basic Pay","U",2014,"Base",,,8705105,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","065","Retired Pay Accrual","U",2014,"Base",,,2831706,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","080","Basic Allowance for Housing","U",2014,"Base",,,3573883,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","085","Incentive Pays","U",2014,"Base",,,42599,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","090","Special Pays","U",2014,"Base",,,289121,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","095","Allowances","U",2014,"Base",,,590403,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","100","Separation Pay","U",2014,"Base",,,464815,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","105","Social Security Tax","U",2014,"Base",,,670467,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","03","Pay And Allowances Of Cadets","110","Academy Cadets","U",2014,"Base",,,69612,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2014,"Base",,,977880,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","U",2014,"Base",,,133439,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","U",2014,"Base",,,33,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","125","Accession Travel","U",2014,"Base",,,86485,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","130","Training Travel","U",2014,"Base",,,70127,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","135","Operational Travel","U",2014,"Base",,,294574,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","140","Rotational Travel","U",2014,"Base",,,461684,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","145","Separation Travel","U",2014,"Base",,,198183,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2014,"Base",,,16123,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","155","Non-Temporary Storage","U",2014,"Base",,,23132,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","U",2014,"Base",,,30183,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2014,"Base",,,124,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2014,"Base",,,3440,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","180","Death Gratuities","U",2014,"Base",,,16500,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","185","Unemployment Benefits","U",2014,"Base",,,51562,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","195","Education Benefits","U",2014,"Base",,,209,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","200","Adoption Expenses","U",2014,"Base",,,628,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","210","Transportation Subsidy","U",2014,"Base",,,5900,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","U",2014,"Base",,,1930,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2014,"Base",,,0,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2014,"Base",,,29849,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","218","Junior ROTC","U",2014,"Base",,,16373,,,,,"Y","Add"
2015,"3500F","Military Personnel, Air Force","AF","","Less Reimbursables","","Less Reimbursables","U",2014,"Base",,,-426711,,,,,"N","Add"
2015,"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF","01","Health Care Contribution - Officers","300","Air Force","U",2014,"Base",,,263502,,,,,"Y","Add"
2015,"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF","01","Health Care Contribution - Officers","999","Undistributed","U",2014,"Base",,,0,,,,,"Y","Add"
2015,"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF","02","Health Care Contribution - Enlisted","300","Air Force","U",2014,"Base",,,1053408,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2014,"Base",,,663178,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","U",2014,"Base",,,99167,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2014,"Base",,,72653,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","U",2014,"Base",,,754,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","060","Mobilization Training","U",2014,"Base",,,564,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","070","School Training","U",2014,"Base",,,148113,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","080","Special Training","U",2014,"Base",,,292840,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","090","Administration and Support","U",2014,"Base",,,372250,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","100","Education Benefits","U",2014,"Base",,,13507,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2014,"Base",,,55220,,,,,"Y","Add"
2015,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","U",2014,"Base",,,4913,,,,,"Y","Add"
2015,"1008F","MEDICARE - Retiree Health Care Contribution, AF RES","AF","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Air Force","U",2014,"Base",,,156087,,,,,"Y","Add"
2015,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2014,"Base",,,913573,,,,,"Y","Add"
2015,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2014,"Base",,,109468,,,,,"Y","Add"
2015,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","U",2014,"Base",,,5006,,,,,"Y","Add"
2015,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","070","School Training","U",2014,"Base",,,250327,,,,,"Y","Add"
2015,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","080","Special Training","U",2014,"Base",,,165588,,,,,"Y","Add"
2015,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","090","Administration and Support","U",2014,"Base",,,1653023,,,,,"Y","Add"
2015,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","100","Education Benefits","U",2014,"Base",,,17436,,,,,"Y","Add"
2015,"1009F","MEDICARE - Retiree Health Care Contribution, AF GUARD","AF","01","Health Care Contribution - Reserve Component","300","National Guard Personnel, Air Force","U",2014,"Base",,,249750,,,,,"Y","Add"
2015,,,,,,,,,2014,"Base",,,,,,,,,
2015,"* The FY 2014 column does not include anticipated internal realignments or reprogrammings.",,,,,,,,2014,"Base",,,,,,,,,
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","005","Basic Pay","U",2014,"OCO",,,801291,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","U",2014,"OCO",,,220850,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","U",2014,"OCO",,,245773,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","U",2014,"OCO",,,30396,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","035","Incentive Pays","U",2014,"OCO",,,4152,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","040","Special Pays","U",2014,"OCO",,,38486,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","045","Allowances","U",2014,"OCO",,,16870,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","050","Separation Pay","U",2014,"OCO",,,6145,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","055","Social Security Tax","U",2014,"OCO",,,60694,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","060","Basic Pay","U",2014,"OCO",,,1584653,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","065","Retired Pay Accrual","U",2014,"OCO",,,445387,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","080","Basic Allowance for Housing","U",2014,"OCO",,,614378,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","085","Incentive Pays","U",2014,"OCO",,,2106,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","090","Special Pays","U",2014,"OCO",,,176067,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","095","Allowances","U",2014,"OCO",,,101787,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","100","Separation Pay","U",2014,"OCO",,,14907,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","105","Social Security Tax","U",2014,"OCO",,,118736,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","03","Pay And Allowances Of Cadets","110","Academy Cadets","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2014,"OCO",,,249365,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","U",2014,"OCO",,,285380,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","125","Accession Travel","U",2014,"OCO",,,11091,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","130","Training Travel","U",2014,"OCO",,,8926,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","135","Operational Travel","U",2014,"OCO",,,101776,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","140","Rotational Travel","U",2014,"OCO",,,50103,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","145","Separation Travel","U",2014,"OCO",,,14169,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2014,"OCO",,,622,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2014,"OCO",,,4745,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","180","Death Gratuities","U",2014,"OCO",,,7449,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits","U",2014,"OCO",,,196104,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2014,"OCO",,,40,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2014,"OCO",,,1449,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Traumatic Injury Protection Coverage (T-SGLI)","U",2014,"OCO",,,35828,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2010A","Military Personnel, Army","ARMY","","Less Reimbursables","","Less Reimbursables","U",2014,"OCO",,,0,,,,,"N","Add"
2015,"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","01","Health Care Contribution - Officers","300","Military Personnel, Army","U",2014,"OCO",,,19520,,,,,"Y","Add"
2015,"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","02","Health Care Contribution - Enlisted","300","Military Personnel, Army","U",2014,"OCO",,,118053,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2014,"OCO",,,8311,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","060","Mobilization Training","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","U",2014,"OCO",,,25041,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Army","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2014,"OCO",,,37857,,,,,"Y","Add"
2015,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","U",2014,"OCO",,,13945,,,,,"Y","Add"
2015,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","U",2014,"OCO",,,191000,,,,,"Y","Add"
2015,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","U",2014,"OCO",,,14262,,,,,"Y","Add"
2015,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY","01","Health Care Contribution - Reserve Component","300","National Guard Personnel, Army","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","U",2014,"OCO",,,99067,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","U",2014,"OCO",,,24271,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","U",2014,"OCO",,,31959,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","U",2014,"OCO",,,3427,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","U",2014,"OCO",,,749,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","040","Special Pays","U",2014,"OCO",,,4858,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","045","Allowances","U",2014,"OCO",,,7458,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","U",2014,"OCO",,,7579,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","U",2014,"OCO",,,108938,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","U",2014,"OCO",,,26690,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","U",2014,"OCO",,,51780,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","U",2014,"OCO",,,296,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","U",2014,"OCO",,,11931,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","U",2014,"OCO",,,16447,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","U",2014,"OCO",,,179,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","U",2014,"OCO",,,8334,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","03","Pay And Allowances Of Cadets","110","Midshipmen","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2014,"OCO",,,12359,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","U",2014,"OCO",,,22956,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","U",2014,"OCO",,,3071,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","130","Training Travel","U",2014,"OCO",,,0,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","U",2014,"OCO",,,1353,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","U",2014,"OCO",,,2559,,,,,"Y","Add"
2015,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","U",2014,"OCO",,,4472,,,,,"Y","Add"
