"","Fiscal.Year","SimpleArea","ProductOrServiceArea","Customer","ContractingSubCustomer","ContractingOfficeID","PlaceCountryText","CrisisFundingTheater","VendorPlaceType","Vendor.Size","UnmodifiedUltimateDurationCategory","OMBagencyName","OMBbureauName","treasuryagencycode","mainaccountcode","isUndefinitizedAction","OCOcrisisScore","CompetitionClassification","IsUrgency","ClassifyNumberOfOffers","IsOMBocoList","PSCOCOcrisisScore","OfficeOCOcrisisScore","MajorCommandID","IsMultipleYearProcRnD","isforeign","ContractCrisisFunding","nationalinterestactioncode","CrisisFunding","localareasetaside","ContingencyHumanitarianPeacekeepingOperation","ConHumIsOCOcrisisFunding","CCRexception","IsOCOcrisisFunding","IsARRAcrisisFunding","DecisionTree","DecisionTreeStep4","pscOCOcrisisPoint","FundingAccountOCOpoint","OfficeOCOcrisisPoint","PercentFundingAccountOCO","OfficeOCOcrisisPercentSqrt","pscOCOcrisisPercentSqrt","Action.Obligation.Then.Year","numberOfActions","CrisisFundingLegacy","Theater","International","contingencyhumanitarianpeacekeepingoperationText","CHPKisCrisisFunding","ProductServiceOrRnDarea.sum","Is.Defense","nationalinterestactioncodeText","IsHurricane","NIAcrisisFunding","SubCustomer","SAMexceptionText","SAMexception.sum","SAMcrisisFunding","SubCustomer.detail","No.Competition.Offer","Dur.Simple","Obligation.2017","NoCompOffr","dFYear","NIAlist","CrisisFunding1A","CrisisFunding1B","CrisisFunding1C","CrisisFunding2","CrisisFunding3","CrisisFunding4A","CrisisFunding4B","MultipleYearProcRnD"
"6060935",2009,"Services","PAMS","Other Agencies","Interior","80000","UNITED STATES","Domestic","Domestic US","Small",">2-7 Months",NA,NA,NA,NA,0,-1,"Limited Competition with multiple offers (Overrode blank Fair Opportunity)",NA,"5-9 Offers",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","N","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.03,0.06,26183,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","Interior","Unlabeled","No Exception",NA,"Interior","5+ Offers","<~1 year",29696.4967672353,"5+ Offers",2009-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6061194",2001,"Services","ICT","Defense","Army","AB18","UNITED STATES","Domestic","Domestic US","Medium >1B (Small Subsidiary)",NA,NA,NA,NA,NA,0,-1,"Unlabeled: Competition; Zero Offers",NA,"Unlabeled: Competition; Zero Offers",0,0,0,"ORG-2877",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.04,372193,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","Unlabeled","Unlabeled",504020.797258814,"Unlabeled",2001-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6062738",2004,"Services","ERS","Defense","Navy","RA13A","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.05,0.05,43791,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",55730.8284092196,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6066344",2004,"Services","ERS","Defense","Navy","WA40B","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.01,20898,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",26595.9409946307,"1 Offer",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6067384",2002,"Products","Electronics & Communications","Defense","Army","TM07","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2878",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,3377,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","2-4 Offers","Unlabeled",4504.00361107723,"2-4 Offers",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6067439",2009,"Services","PAMS","GSA","GSA","KT000","UNITED STATES","Domestic","Domestic US","Medium <1B",">1-2 Years","General Services Administration",5,47,4543,0,-2,"Unlabeled: Blank Fair Opportunity",NA,"Unlabeled: Blank Fair Opportunity",0,0,-1,NA,0,0,"ARRA","W081","ARRA","N","",NA,"Unlabeled",NA,1,"ARRA","ARRA",0,0,0,NA,0,0.1,8304098.5,1,"ARRA","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","GSA","Unlabeled","No Exception",NA,"GSA","Unlabeled","(~1 year,~2 years]",9418425.47683815,"Unlabeled",2009-01-01,"California Wildfires 2008","ARRA","ARRA",NA,NA,NA,NA,NA,"Remainder"
"6068454",2003,"Services","ERS","Defense","Air Force","QA12","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2844",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,144948,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Only 1 Source)","Unlabeled",189541.214188637,"Other No",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6071454",2002,"Products","Aircraft","Defense","Air Force","GJ05","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-2,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,-1,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.04,94736,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Unlabeled)","Unlabeled",126352.172371635,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6072988",2006,"Services","PAMS","Defense","Other DoD","HQ0423","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.05,0.08,-896,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Other DoD","Unlabeled","No Exception",NA,"Other DoD","2-4 Offers","Unlabeled",-1071.8187603665,"2-4 Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6073574",2002,"Services","ICT","Defense","Navy","RA13A","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.05,0.03,1413901,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Only 1 Source)","Unlabeled",1885761.09259867,"Other No",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6074888",2003,"Services","ICT","GSA","GSA","","",NA,"US Vendor abroad","Medium <1B",NA,NA,NA,NA,NA,0,0,"Unlabeled: Competition; Zero Offers",NA,"Unlabeled: Competition; Zero Offers",NA,0,0,NA,0,NA,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.01,0,0,"Disaster","Unlabeled",NA,"Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","GSA","Unlabeled","No Exception",NA,"GSA","Unlabeled","Unlabeled",0,"Unlabeled",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6076265",2010,"Services","PAMS","Defense","Army","W91238","UNITED STATES","Domestic","Domestic US","Medium >1B","<=2 Months",NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"10-24 Offers",0,0,0,"ORG-2872",0,0,"Unlabeled","W081","Disaster","N","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.03,0.1,53212.2695,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","5+ Offers","<~1 year",59624.8050715635,"5+ Offers",2010-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6076299",2002,"Services","ERS","Defense","Navy","XSP01","UNITED STATES","Domestic","Domestic US","Large: Big 6",NA,NA,NA,NA,NA,0,-2,"Competition with single offer",0,"One Offer",0,0,-1,"ORG-2942",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.06,438069,4,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",584265.430234228,"1 Offer",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6079938",2002,"Services","ERS","Defense","Navy","VA10A","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.01,32359,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",43158.144166671,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6079989",2003,"Services","ICT","Defense","Navy","AA410","UNITED STATES","Domestic","Domestic US","Large: Big 6",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2936",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.13,0.12,37650095,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Only 1 Source)","Unlabeled",49233136.8533373,"Other No",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6080643",2003,"Services","FRS&C","Defense","Navy","WA30B","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.04,608734,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",796010.855464759,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6080913",2006,"Services","PAMS","Defense","Air Force","FA9453","UNITED STATES","Domestic","Domestic US","Large: Big 6",NA,NA,NA,NA,NA,0,-3,"Limited Competition with multiple offers",NA,"3-4 Offers",0,-1,-1,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0,5247500,8,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","2-4 Offers","Unlabeled",6277197.48328486,"2-4 Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6081762",2004,"Products","Missiles & Space","Defense","Air Force","CZ24","UNITED STATES","Domestic","Domestic US","Medium >1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2834",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0,179039,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Only 1 Source)","Unlabeled",227854.851169379,"Other No",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6082362",2003,"Products","Other","Defense","DLA","0500","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.06,0.06,26862,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","DLA","Unlabeled","No Exception",NA,"DLA","1 Offer","Unlabeled",35126.0872556722,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6082571",2003,"Services","ERS","Defense","Navy","BS791","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Competition with single offer",NA,"One Offer",0,0,-1,"ORG-2941",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.03,888745,8,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",1162167.16618429,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6083774",2001,"Services","ERS","Defense","Navy","A8304","UNITED STATES","Domestic","Domestic US","Large",">7-12 Months",NA,NA,NA,NA,0,-2,"Limited Competition with multiple offers",0,"Two Offers",0,0,-1,"ORG-2936",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.06,48610,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","<~1 year",65827.2749749484,"2-4 Offers",2001-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6084343",2005,"Services","ICT","Defense","Navy","M00681","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"5-9 Offers",0,0,0,"ORG-2943",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.03,67448,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","5+ Offers","Unlabeled",83161.7680051812,"5+ Offers",2005-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6086349",2003,"Services","ERS","Defense","Navy","WA50K","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,4919,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",6432.32906003468,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6089467",2002,"Services","ICT","Defense","Army","BT67","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2854",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.03,6033,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","No Comp. (Unlabeled)","Unlabeled",8046.38844703255,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6095036",2006,"Products","Ground Vehicles","Defense","Navy","M62204","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,0,"ORG-2943",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.18,575,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",687.830119654844,"2-4 Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6095391",2003,"Services","ERS","Defense","Army","CW07","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.04,324235,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","1 Offer","Unlabeled",423985.812722168,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6095778",2004,"Services","ERS","Defense","Navy","WA50K","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.01,5355,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",6815.06670620381,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6095837",2008,"Services","FRS&C","Other Agencies","Agriculture","9A47","UNITED STATES","Domestic","Domestic US","Small",">2-7 Months",NA,NA,NA,NA,0,-1,"No Competition (Other Exception)",1,"No competition",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","N","",NA,"C",NA,0,"Disaster","Disaster",0,0,0,NA,0,0,156086,8,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","Agriculture","Unknown C","Other Exception",NA,"Agriculture","No Comp. (Other)","<~1 year",178376.136364475,"Urgency",2008-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6098112",2003,"Products","Other","Defense","DLA","0400","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Full Competition (Multiple Offers)",NA,"5-9 Offers",0,0,-1,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.04,27160,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","DLA","Unlabeled","No Exception",NA,"DLA","5+ Offers","Unlabeled",35515.7668775243,"5+ Offers",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6098152",2006,"Services","ERS","Defense","Air Force","FA8212","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.05,238024,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Only 1 Source)","Unlabeled",284730.567653434,"Other No",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6099163",2003,"Products","Electronics & Communications","Defense","Other DoD","ZT02","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,2943,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Other DoD","Unlabeled","No Exception",NA,"Other DoD","2-4 Offers","Unlabeled",3848.41317822363,"2-4 Offers",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6106992",2002,"R&D","R&D","Defense","Air Force","GS05","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,1,-2,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,-1,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.13,160000,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"R&D","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","2-4 Offers","Unlabeled",213396.676864778,"2-4 Offers",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6109318",2003,"R&D","R&D","Defense","Air Force","GS03","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Competition with single offer",NA,"One Offer",0,0,-1,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.02,69792,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"R&D","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","1 Offer","Unlabeled",91263.49049765,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6113384",2004,"Services","ERS","Defense","Air Force","GD15","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-2,"Limited Competition with multiple offers",0,"3-4 Offers",0,0,-1,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.11,-8147,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","2-4 Offers","Unlabeled",-10368.3190392983,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6116229",2003,"Services","ERS","Defense","Army","BK17","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2876",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.06,34504,4,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","No Comp. (Unlabeled)","Unlabeled",45119.1465516236,"Unlabeled",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6116830",2002,"Services","ERS","Defense","Air Force","GW02","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.06,486424,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","1 Offer","Unlabeled",648757.907170456,"1 Offer",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6118919",2006,"Services","ERS","Defense","Navy","N62786","UNITED STATES","Domestic","Domestic US","Large: Big 6",NA,NA,NA,NA,NA,1,-1,"No Competition (Other Exception)",1,"No competition",0,0,0,"ORG-2941",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.03,199811,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Other)","Unlabeled",239019.172240616,"Urgency",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"6119088",2004,"Services","ERS","Defense","Navy","BS792","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2941",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.14,25625,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",32611.7804568576,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
